                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.928,5.6174,1.1422,0.16362,0.1966,0.13291,0.06293,1.9036,7.255,1.1121,0.067741,0.00099771,0.00099771
2,1.9205,5.1555,1.1341,0.33745,0.21002,0.16606,0.07626,1.8814,4.4611,1.1025,0.035402,0.0019928,0.0019928
3,1.8802,4.945,1.1218,0.34019,0.21448,0.17076,0.07848,1.9201,4.3837,1.1103,0.0030592,0.0029829,0.0029829
4,1.8559,4.7926,1.1166,0.30663,0.24063,0.21015,0.10019,1.8019,4.0475,1.0657,0.0029777,0.0029777,0.0029777
5,1.8191,4.606,1.0954,0.31905,0.24373,0.21539,0.10456,1.7763,4.035,1.0553,0.0029703,0.0029703,0.0029703
6,1.7729,4.4006,1.0853,0.45034,0.25884,0.24359,0.11546,1.7997,3.9779,1.0629,0.0029629,0.0029629,0.0029629
7,1.7568,4.3142,1.0771,0.37189,0.26506,0.2463,0.11889,1.7602,3.7635,1.0564,0.0029555,0.0029555,0.0029555
8,1.7266,4.2308,1.072,0.34888,0.26482,0.23773,0.11208,1.8312,3.9338,1.0671,0.002948,0.002948,0.002948
9,1.7358,4.2114,1.0724,0.35672,0.28353,0.2607,0.12508,1.7623,3.6827,1.0498,0.0029406,0.0029406,0.0029406
10,1.7251,4.1117,1.0641,0.36687,0.29896,0.27277,0.12685,1.8513,3.6915,1.0621,0.0029332,0.0029332,0.0029332
11,1.7098,4.0825,1.0593,0.34212,0.27977,0.248,0.122,1.7267,3.6964,1.0317,0.0029257,0.0029257,0.0029257
12,1.7163,4.0497,1.0602,0.36889,0.30861,0.28294,0.13563,1.7507,3.5955,1.0415,0.0029183,0.0029183,0.0029183
13,1.7065,4.0002,1.0492,0.38865,0.29781,0.289,0.13722,1.787,3.5377,1.0508,0.0029109,0.0029109,0.0029109
14,1.6901,3.9539,1.0475,0.37874,0.30372,0.27927,0.12544,1.916,3.6693,1.0762,0.0029035,0.0029035,0.0029035
15,1.688,3.9372,1.0488,0.38196,0.30017,0.27843,0.13098,1.808,3.6077,1.051,0.002896,0.002896,0.002896
16,1.6865,3.9055,1.0407,0.39818,0.32229,0.30096,0.14761,1.6841,3.5157,1.0225,0.0028886,0.0028886,0.0028886
17,1.6646,3.8698,1.0394,0.3984,0.32697,0.30348,0.15185,1.6361,3.4394,1.0096,0.0028812,0.0028812,0.0028812
